Date,Ticker
2023-01-03,AAPL,
2023-01-03,AMZN,
2023-01-03,BRK-B,
2023-01-03,GOOG,
2023-01-03,GOOGL,
2023-01-03,HD,
2023-01-03,JNJ,
2023-01-03,JPM,
2023-01-03,MSFT,
2023-01-03,NVDA,
2023-01-03,PG,
2023-01-03,TSLA,
2023-01-03,UNH,
2023-01-03,V,
2023-01-03,XOM,
2024-01-03,AAPL,
2024-01-03,AMZN,
2024-01-03,AVGO,
2024-01-03,BRK-B,
2024-01-03,GOOG,
2024-01-03,GOOGL,
2024-01-03,JPM,
2024-01-03,LLY,
2024-01-03,META,
2024-01-03,MSFT,
2024-01-03,NVDA,
2024-01-03,TSLA,
2024-01-03,UNH,
2024-01-03,V,
2024-01-03,XOM,
2025-01-03,AAPL,
2025-01-03,AMZN,
2025-01-03,AVGO,
2025-01-03,BRK-B,
2025-01-03,GOOG,
2025-01-03,GOOGL,
2025-01-03,JPM,
2025-01-03,LLY,
2025-01-03,META,
2025-01-03,MSFT,
2025-01-03,NVDA,
2025-01-03,TSLA,
2025-01-03,UNH,
2025-01-03,V,
2025-01-03,XOM,
2026-01-02,AAPL,
2026-01-02,AMZN,
2026-01-02,AVGO,
2026-01-02,BRK-B,
2026-01-02,GOOG,
2026-01-02,GOOGL,
2026-01-02,JPM,
2026-01-02,LLY,
2026-01-02,META,
2026-01-02,MSFT,
2026-01-02,NVDA,
2026-01-02,ORCL,
2026-01-02,TSLA,
2026-01-02,V,
2026-01-02,WMT,
